11.11	11111	1111111121
27.44	8890	1450453075
29.96	8890	1450453077
23.09	8890	1450453079
26.61	8890	1450453081
26.84	8942	1450453156
20.20	8942	1450453158
22.93	8942	1450453160
20.16	8942	1450453162
25.91	8942	1450453164
27.09	8942	1450453166
25.78	9513	1450454343
29.69	9513	1450454345
28.60	9513	1450454347
27.42	7832	1485243434
28.77	7832	1485243436
20.46	7832	1485243438
29.98	7832	1485243440
25.05	7832	1485243442
27.53	7835	1485243442
22.14	7832	1485243444
25.42	7835	1485243444
25.41	7832	1485243446
28.83	7835	1485243446
25.40	7832	1485243448
23.10	7835	1485243448
25.42	7832	1485243450
23.57	7835	1485243450
28.78	7832	1485243452
20.34	7835	1485243452
24.96	7832	1485243454
23.89	7835	1485243454
21.04	7832	1485243456
26.39	7835	1485243456
20.59	9063	1485246376
24.89	9063	1485246378
25.76	9063	1485246380
21.94	9064	1485246380
23.02	9063	1485246382
24.49	9064	1485246382
26.27	9063	1485246384
22.70	9064	1485246384
22.83	9063	1485246386
27.61	9064	1485246386
26.56	9063	1485246388
20.27	9064	1485246388
21.05	9063	1485246390
21.31	9064	1485246390
20.49	9063	1485246392
26.24	9064	1485246392
25.29	9063	1485246394
25.29	9063	1485246394
28.65	9063	1485246402
21.31	9088	1485246402
29.74	9108	1485246447
26.24	9109	1485246447
27.35	9108	1485246449
26.67	9109	1485246449
26.25	10061	1485248441
22.74	10061	1485248443
22.07	10062	1485248443
26.25	10061	1485248445
20.55	10062	1485248445
20.77	10061	1485248447
20.02	10062	1485248447
27.43	10061	1485248449
28.47	10062	1485248449
24.97	10061	1485248451
24.97	10061	1485248451
